
gb:	repeticiones 0		P= 0.0	I= 0 bits
gc:	repeticiones 0		P= 0.0	I= 0 bits
gç:	repeticiones 0		P= 0.0	I= 0 bits
gd:	repeticiones 0		P= 0.0	I= 0 bits
ge:	repeticiones 82		P= 0.00080916527694175	I= 10.271277967536058 bits
gf:	repeticiones 0		P= 0.0	I= 0 bits
gg:	repeticiones 0		P= 0.0	I= 0 bits
gh:	repeticiones 0		P= 0.0	I= 0 bits
gi:	repeticiones 84		P= 0.0008289010154037439	I= 10.236512549375382 bits
gj:	repeticiones 0		P= 0.0	I= 0 bits
gk:	repeticiones 0		P= 0.0	I= 0 bits
gl:	repeticiones 0		P= 0.0	I= 0 bits
gm:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
gn:	repeticiones 17		P= 0.00016775377692694816	I= 12.541367130903803 bits
go:	repeticiones 268		P= 0.0026445889539071826	I= 8.56274078169637 bits
gp:	repeticiones 0		P= 0.0	I= 0 bits
gq:	repeticiones 0		P= 0.0	I= 0 bits
gr:	repeticiones 85		P= 0.0008387688846347408	I= 10.219439036016439 bits
gs:	repeticiones 0		P= 0.0	I= 0 bits
gt:	repeticiones 0		P= 0.0	I= 0 bits
gu:	repeticiones 259		P= 0.00255577813082821	I= 8.612021684467587 bits
gv:	repeticiones 0		P= 0.0	I= 0 bits
gw:	repeticiones 0		P= 0.0	I= 0 bits
gx:	repeticiones 0		P= 0.0	I= 0 bits
gy:	repeticiones 0		P= 0.0	I= 0 bits
gz:	repeticiones 0		P= 0.0	I= 0 bits
g&:	repeticiones 0		P= 0.0	I= 0 bits
ha:	repeticiones 327		P= 0.003226793238536003	I= 8.275683146656059 bits
hb:	repeticiones 0		P= 0.0	I= 0 bits
hc:	repeticiones 0		P= 0.0	I= 0 bits
hç:	repeticiones 0		P= 0.0	I= 0 bits
hd:	repeticiones 0		P= 0.0	I= 0 bits
he:	repeticiones 352		P= 0.003473489969310927	I= 8.169398353516844 bits
hf:	repeticiones 0		P= 0.0	I= 0 bits
hg:	repeticiones 0		P= 0.0	I= 0 bits
hh:	repeticiones 0		P= 0.0	I= 0 bits
hi:	repeticiones 25		P= 0.0002466967307749238	I= 11.984973782379416 bits
hj:	repeticiones 0		P= 0.0	I= 0 bits
hk:	repeticiones 0		P= 0.0	I= 0 bits
hl:	repeticiones 0		P= 0.0	I= 0 bits
hm:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
hn:	repeticiones 0		P= 0.0	I= 0 bits
ho:	repeticiones 358		P= 0.0035326971846969084	I= 8.145014194889885 bits
hp:	repeticiones 0		P= 0.0	I= 0 bits
hq:	repeticiones 0		P= 0.0	I= 0 bits
hr:	repeticiones 0		P= 0.0	I= 0 bits
hs:	repeticiones 0		P= 0.0	I= 0 bits
ht:	repeticiones 0		P= 0.0	I= 0 bits
hu:	repeticiones 21		P= 0.00020722525385093597	I= 12.236512549375382 bits
hv:	repeticiones 0		P= 0.0	I= 0 bits
hw:	repeticiones 0		P= 0.0	I= 0 bits
hx:	repeticiones 0		P= 0.0	I= 0 bits
hy:	repeticiones 0		P= 0.0	I= 0 bits
hz:	repeticiones 0		P= 0.0	I= 0 bits
h&:	repeticiones 5		P= 4.933934615498475e-05	I= 14.306901877266778 bits
ia:	repeticiones 639		P= 0.006305568438607052	I= 7.3091578512071465 bits
ib:	repeticiones 14		P= 0.0001381501692339573	I= 12.821475050096538 bits
ic:	repeticiones 363		P= 0.003582036530851893	I= 8.125004234158391 bits
iç:	repeticiones 26		P= 0.00025656460000592074	I= 11.928390254013049 bits
id:	repeticiones 371		P= 0.0036609794846998688	I= 8.093554595533337 bits
ie:	repeticiones 61		P= 0.000601940023090814	I= 10.698092634591255 bits
if:	repeticiones 53		P= 0.0005229970692428384	I= 10.900909517590941 bits
ig:	repeticiones 133		P= 0.0013124266077225945	I= 9.573547536652951 bits
ih:	repeticiones 0		P= 0.0	I= 0 bits
ii:	repeticiones 0		P= 0.0	I= 0 bits
ij:	repeticiones 10		P= 9.86786923099695e-05	I= 13.306901877266778 bits
ik:	repeticiones 0		P= 0.0	I= 0 bits
il:	repeticiones 90		P= 0.0008881082307897255	I= 10.136976875824466 bits
im:	repeticiones 341		P= 0.00336494340776996	I= 8.215202043129969 bits
in:	repeticiones 596		P= 0.0058812500616741824	I= 7.40966145169198 bits
io:	repeticiones 256		P= 0.0025261745231352196	I= 8.628829972154142 bits
ip:	repeticiones 27		P= 0.00026643246923691765	I= 11.873942469990673 bits
iq:	repeticiones 7		P= 6.907508461697865e-05	I= 13.821475050096538 bits
